yr,jday_breakup,jday_freezeup
1979,178,314
1980,181,319
1981,177,333
1982,188,316
1983,189,317
1984,182,312
1985,186,316
1986,173,309
1987,186,318
1988,186,321
1989,166,319
1990,153,317
1991,172,309
1992,192,319
1993,180,308
1994,170,329
1995,163,316
1996,173,323
1997,166,322
1998,160,338
1999,161,323
2000,182,321
2001,163,326
2002,173,317
2003,155,328
2004,181,323
2005,169,326
2006,165,331
2007,162,322
2008,163,325
2009,183,334
2010,168,333
2011,156,334
2012,174,329
2013,168,322
2014,166,323
2015,137,328
2016,169,342
2017,165,320
2018,149,319